Name,# requests,50%,66%,75%,80%,90%,95%,98%,99%,100%
GET /all_properties/CHEBI:89671,550024,110,370,680,1000,2100,3200,6200,10000,491000
Total,550024,110,370,680,1000,2100,3200,6200,10000,491000
