"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /all_properties/CHEBI:89671",28405,84,170,320,470,1300,2200,3400,4900,30000
"Total",28405,84,170,320,470,1300,2200,3400,4900,30000
