Method,Name,# requests,# failures,Median response time,Average response time,Min response time,Max response time,Average Content Size,Requests/s
GET,/all_properties/CHEBI:89671,28405,0,84,467,2,29811,1196,380.21
None,Total,28405,0,84,467,2,29811,1196,380.21
